;Nombres de niña;Nombres de niño;Hobbies
;Isabella;Daniel;abejas (crianza de abejas o apicultura)
;Olivia;David;acroyoga
;Alexis;Gabriel;actuar en teatro
;Sofía;Benjamín;acuarios
;Victoria;Samuel;aerobic
;Amelia;Lucas;aeromodelismo
;Alexa;Ángel;aerostacion
;Julia;José;aikido
;Camila;Adrián;airsoft
;Alexandra;Sebastián;ajedrez
;Maya;Xavier;ala delta
;Andrea;Juan;animacion ( creacion de cine de animacion y dibujos animados)
;Ariana;Luis;aquagym
;María;Diego;aromaterapia
;Eva;Óliver;arte (aficion a las artes plasticas)
;Angelina;Carlos;arte digital
;Valeria;Jesús;arte:asistir a espectaculos culturales (teatro/musica/danza/opera/zarzuela)
;Natalia;Alex;arte digital
;Isabel;Max;asociaciones (pertenencia a grupos sociales de tipo artistico/deportivo/festivo/etc)
;Sara;Alejandro;astrologia
;Liliana;Antonio;astronomia
;Adriana;Miguel;atletismo
;Juliana;Víctor;audiolibros
;Gabriela;Joel;autocaravanas
;Daniela;Santiago;automoviles clasicos/antiguos
;Valentina;Elías;aventura( actividades de )
;Lila;Iván;avicultura (cria de gallinas)casera
;Vivian;Óscar;avistamiento de aves
;Nora;Leonardo;backgammon
;Ángela;Eduardo;badminton
;Elena;Alan;bailar
;Clara;Nicolás;baile con barra (pole dance/ pole fitness)
;Eliana;Jorge;ballet
;Alana;Omar;baloncesto
;Miranda;Paúl;balonmano
;Amanda;Andrés;balonmano playa
;Diana;Julián;banda o grupo musicales
;Ana;Josué;barco dentro de una botella
;Penélope;Román;barcos de motor
;Aurora;Fernando;barranquismo
;Alexandría;Javier;batallas de gallos
;Lola;Abraham;batik y estampacion de tejidos
;Alicia;Ricardo;beisbol
;Amaya;Francisco;belleza y estetica (aficion a)
;Alexia;César;biatlon
;Jazmín;Mario;bibliofilia
;Mariana;Manuel;bicicleta (ciclismo)
;Alina;Édgar;bicicleta de montaña
;Lucía;Alexis;bikejoring
;Fátima;Israel;billar
;Ximena;Mateo;bingo
;Laura;Héctor;blog (y videoblog)
;Cecilia;Sergio;bmx (bicicleta de motocross)
;Alejandra;Emiliano;bodyboard
;Esmeralda;Simón;bolos (bowling/ boliche)
;Verónica;Rafael;bonsai (arboles enanos)
;Daniella;Martín;bordado sobre papel
;Miriam;Marco;boxeo
;Carmen;Roberto;bricolaje o diy
;Iris;Pedro;buceo (submarinismo)
;Guadalupe;Emanuel;buceo» en contenedores
;Selena;Abel;caballo (montar/ hipica/ equitacion)
;Fernanda;Rubén;caligrafia artistica y lettering
;Angélica;Fabián;calistenia
;Emilia;Emilio;cama elastica
;Lía;Joaquín;campismo
;Tatiana;Marcos;campo a traves
;Mónica;Lorenzo;canaricultura
;Carolina;Armando;canicross
;Jimena;Adán;cantar
;Dulce;Raúl;capoeira
;Talía;Julio;carpinteria
;Estrella;Enrique;carreras por montaña
;Brenda;Gerardo;carrovela y blokart (land sailing)
;Lilian;Pablo;casas de muñecas (construccion de)
;Paola;Jaime;castillos y fortificaciones (interes por)
;Serena;Saúl;cata de cerveza
;Celeste;Esteban;cata de vino
;Viviana;Gustavo;caza deportiva
;Elisa;Rodrigo;ceramica
;Melina;Arturo;cerveza (fabricacion casera de)
;Gloria;Mauricio;cesteria
;Claudia;Orlando;cetreria
;Sandra;Hugo;chalkpaint (pintura de tiza)
;Marisol;Salvador;chi kung o qui gong
;Asia;Alfredo;cianotipia
;Ada;Maximiliano;cicloturismo
;Rosa;Ramón;ciencia (aficion a la)
;Isabela;Ernesto;cine (aficion al cine/ ver cine)
;Regina;Tobías;cocina
;Elsa;Abram;coleccionismo (sellos/monedas/antigüedades/etc)
;Perla;Noé;colorear libros
;Raquel;Guillermo;cometas (volar cometas)
;Virginia;Ezequiel;comics (creacion de )
;Patricia;Lucián;comics (lectura de)
;Linda;Alonzo;comidista (foodie)
;Marina;Felipe;composicion musical
;Leila;Matías;compostaje
;América;Tomás;comprar (o vender: ropa/ complementos/ objetos/ etc)
;Mercedes;Jairo;conducción de automóviles (automovilismo deportivo)
;;;conduccion de motocicletas (motociclismo)y moteros
;;;conferencias(asistir a)
;;;coro
;;;correr (running)
;;;cosmetica casera
;;;cosplay
;;;costura/ corte y confeccion
;;;cristal teñido
;;;croquet
;;;crossfit
;;;cruceros (viajes de)
;;;cubo de rubik
;;;cuero (creaciones con)
;;;culturismo (body building)
;;;curling
;;;customizacion de ropa
;;;customizacion y restauracion de bicicletas
;;;damas (juego de)
;;;danza aerea
;;;dardos (lanzar dardos)
;;;decoracion de interiores
;;;decoupage (decoracion de superficies)
;;;deporte (aficion al)
;;;deporte (asistir a espectaculos deportivos)
;;;deporte (ver deporte en tv/ online/ revistas o periodicos/ radio)
;;;deportes de fantasia (liga de fantasia)
;;;diario (escribir un)
;;;dibujo artistico
;;;dioramas (y belenes)
;;;dirigir/ entrenar/ gestionar.
;;;disc golf
;;;diseño de ropa (moda)
;;;diseño y creacion de paginas web
;;;dj (disk jockey)
;;;documentales (aficion a los)
;;;domino
;;;electronica
;;;encuadernacion de libros
;;;enmarcar cuadros
;;;entomologia (aficion a la)
;;;escalada
;;;escape room
;;;escribir literatura (prosa/poesia/teatro/ ensayo/guiones)
;;;escultura
;;;esgrima
;;;esmaltes sobre metal (al fuego)
;;;espeleologia
;;;esports
;;;esqui alpino
;;;esqui de fondo o nordico
